x,t,value
0.0909091,0.018,0
0.0909091,0.019,0
0.0909091,0.02,0
0.0909091,0.021,0
0.0909091,0.022,0
0.0909091,0.023,0
0.0909091,0.024,0
0.0909091,0.025,0
0.0909091,0.026,0
0.0909091,0.027,0
0.0909091,0.028,0
0.0909091,0.029,0
0.0909091,0.03,0
0.0909091,0.031,2.2627e-16
0.0909091,0.032,-8.53715e-14
0.0909091,0.033,1.45543e-11
0.0909091,0.034,-1.47863e-09
0.0909091,0.035,9.93414e-08
0.0909091,0.036,-4.62401e-06
0.0909091,0.037,0.000151444
0.0909091,0.038,-0.00344443
0.0909091,0.039,0.0515721
0.0909091,0.04,-0.229791
0.0909091,0.041,0.30079
0.0909091,0.042,-0.163971
0.0909091,0.043,-0.0196663
0.0909091,0.044,-0.00207645
0.0909091,0.045,-0.000156701
0.0909091,0.046,-8.16584e-06
0.0909091,0.047,-2.38419e-07
0.0909091,0.048,0
0.0909091,0.049,0
0.0909091,0.05,0
0.0909091,0.051,0
0.0909091,0.052,0
0.0909091,0.053,0
0.0909091,0.054,0
0.0909091,0.055,-4.17233e-07
0.0909091,0.056,1.23978e-05
0.0909091,0.057,-0.000249565
0.0909091,0.058,0.0034523
0.0909091,0.059,-0.030804
0.0909091,0.06,0.149764
0.0909091,0.061,-0.236393
0.0909091,0.062,0.273167
0.0909091,0.063,0.0325229
0.0909091,0.064,0.00465467
0.0909091,0.065,0.00044786
0.0909091,0.066,2.93201e-05
0.0909091,0.067,1.32044e-06
0.0909091,0.068,3.96304e-08
0.0909091,0.069,7.17382e-10
0.0909091,0.07,5.93027e-12
0.0909091,0.071,0
0.0909091,0.072,0
0.0909091,0.073,0
0.0909091,0.074,0
0.0909091,0.075,0
0.0909091,0.076,0
0.0909091,0.077,0
0.0909091,0.078,0
0.0909091,0.079,0
0.0909091,0.08,0
0.0909091,0.081,0
0.0909091,0.082,0
0.0909091,0.083,0
0.0909091,0.084,0
0.0909091,0.085,0
0.0909091,0.086,0
0.0909091,0.087,0
0.0909091,0.088,0
0.0909091,0.089,0
0.0909091,0.09,0
0.0909091,0.091,0
0.0909091,0.092,0
0.0909091,0.093,0
0.0909091,0.094,0
0.0909091,0.095,0
0.0909091,0.096,0
0.0909091,0.097,0
0.0909091,0.098,0
0.0909091,0.099,0
0.0909091,0.1,0
0.10101,0.001,0
0.10101,0.002,0
0.10101,0.003,0
0.10101,0.004,0
0.10101,0.005,0
0.10101,0.006,0
0.10101,0.007,0
0.10101,0.008,0
0.10101,0.009,0
0.10101,0.01,0
0.10101,0.011,0
0.10101,0.012,0
0.10101,0.013,0
0.10101,0.014,0
0.10101,0.015,0
0.10101,0.016,0
0.10101,0.017,0
0.10101,0.018,0
0.10101,0.019,0
0.10101,0.02,0
0.10101,0.021,0
0.10101,0.022,0
0.10101,0.023,0
0.10101,0.024,0
0.10101,0.025,0
0.10101,0.026,0
0.10101,0.027,0
0.10101,0.028,0
0.10101,0.029,0
0.10101,0.03,-5.78906e-18
0.10101,0.031,2.39943e-15
0.10101,0.032,-4.53553e-13
0.10101,0.033,5.16676e-11
0.10101,0.034,-3.94697e-09
0.10101,0.035,2.12685e-07
0.10101,0.036,-8.26531e-06
0.10101,0.037,0.000231939
0.10101,0.038,-0.00458314
0.10101,0.039,0.0594985
0.10101,0.04,-0.217447
0.10101,0.041,0.247447
